id,name,listing_url,price,room_type,property_type,accommodates,bedrooms,beds,bathrooms_text,amenities,minimum_nights,neighbourhood_cleansed,latitude,longitude,review_scores_rating,review_scores_value,review_scores_cleanliness,review_scores_location,review_scores_checkin,review_scores_communication,review_scores_accuracy,number_of_reviews,host_is_superhost,host_response_rate,host_acceptance_rate,host_identity_verified,calculated_host_listings_count,availability_365,instant_bookable,dist_to_station,stations_within_500m,dist_to_Tokyo,dist_to_Shibuya,land_price,dist_to_land
2238472,Spacious! Shibuya House w/Garden,https://www.airbnb.com/rooms/2238472,"$37,268.00",Private room,Private room in home,3,1.0,3.0,2 baths,"[""Extra pillows and blankets"", ""Coffee maker"", ""Hangers"", ""Outdoor furniture"", ""Hot water"", ""Dishwasher"", ""Breakfast"", ""Shampoo"", ""Washer"", ""Iron"", ""Dryer"", ""Shared backyard \u2013 Fully fenced"", ""Essentials"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Hair dryer"", ""Outdoor dining area"", ""Wifi"", ""BBQ grill"", ""First aid kit"", ""Heating"", ""Smoke alarm"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""TV""]",2,Shibuya Ku,35.67191,139.68367,4.92,4.83,4.83,4.96,4.96,4.98,4.89,173,f,100%,78%,t,1,292,f,578.6360911121984,0.0,9284.937054601023,2642.452560095144,1360000,287.38193099622885
2803972,11mins to Fussa station by train and 6mins walk!,https://www.airbnb.com/rooms/2803972,"$4,800.00",Entire home/apt,Entire guest suite,2,1.0,1.0,1 bath,"[""Hangers"", ""Hot water"", ""Shampoo"", ""Iron"", ""Fire extinguisher"", ""Stove"", ""Essentials"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Gym"", ""Window AC unit"", ""First aid kit"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Lockbox"", ""Long term stays allowed""]",3,Akishima Shi,35.70561,139.37975,4.67,4.68,4.45,4.41,4.83,4.9,4.81,42,f,100%,86%,t,2,6,f,546.9933473693458,0.0,43154.32331264687,36354.05653891101,275000,206.9767695931703
2839061,"#1 Discover local life, culture & People/Work desk",https://www.airbnb.com/rooms/2839061,"$11,272.00",Private room,Private room in home,2,1.0,1.0,2 shared baths,"[""Extra pillows and blankets"", ""Coffee maker"", ""Blender"", ""Rice maker"", ""Hangers"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Hot water"", ""Shampoo"", ""Iron"", ""Fire extinguisher"", ""Stove"", ""Bidet"", ""Dryer"", ""Body soap"", ""Smart lock"", ""Essentials"", ""Portable fans"", ""Coffee"", ""Conditioner"", ""Dedicated workspace"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Kitchen"", ""Self check-in"", ""Toaster"", ""Hair dryer"", ""Wifi"", ""Wine glasses"", ""Shared hot tub"", ""AC - split type ductless system"", ""Patio or balcony"", ""Bathtub"", ""Baking sheet"", ""Free washer \u2013 In building"", ""Heating"", ""Smoke alarm"", ""Hot water kettle"", ""Oven"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Refrigerator"", ""Cooking basics"", ""Dining table"", ""Long term stays allowed""]",4,Bunkyo Ku,35.72035,139.76445,4.9,4.88,4.86,4.89,4.9,4.99,4.93,136,t,100%,83%,t,1,22,f,439.28290041628816,1.0,5347.291541691551,10972.449115195272,1160000,325.2719037434114
2867835,Cozy Apartment 2 Min Walk from Takenotsuka,https://www.airbnb.com/rooms/2867835,"$12,915.00",Entire home/apt,Entire rental unit,4,1.0,3.0,1 bath,"[""Rice maker"", ""Keypad"", ""Hangers"", ""Hot water"", ""Shampoo"", ""Washer"", ""Iron"", ""Fire extinguisher"", ""Bidet"", ""Body soap"", ""Freezer"", ""Dishes and silverware"", ""Self check-in"", ""Toaster"", ""Hair dryer"", ""Wifi"", ""Kitchenette"", ""Long term stays allowed"", ""Heating"", ""Smoke alarm"", ""Hot water kettle"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Cleaning products"", ""Cooking basics"", ""TV"", ""Other induction stove""]",6,Adachi Ku,35.79124,139.79102,4.36,4.5,4.71,4.5,4.71,4.64,4.57,14,t,100%,60%,t,4,83,f,430.85407962028887,1.0,15317.818236796327,20713.711746117377,481000,224.28609511912572
2883753,Cozy 2-Min Walk to Takenotsuka – Explore Tokyo,https://www.airbnb.com/rooms/2883753,"$12,915.00",Entire home/apt,Entire rental unit,4,1.0,3.0,1 bath,"[""Rice maker"", ""Keypad"", ""Room-darkening shades"", ""Hot water"", ""Shampoo"", ""Washer"", ""Iron"", ""Fire extinguisher"", ""Body soap"", ""Freezer"", ""Dishes and silverware"", ""Self check-in"", ""Toaster"", ""Hair dryer"", ""Wifi"", ""Kitchenette"", ""Long term stays allowed"", ""Heating"", ""Smoke alarm"", ""Hot water kettle"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Cleaning products"", ""Cooking basics"", ""TV"", ""Other induction stove""]",6,Adachi Ku,35.791368746081226,139.79204721255772,4.64,4.73,4.64,4.55,4.82,4.82,4.82,11,t,100%,60%,t,4,83,f,437.5856709092305,1.0,15356.162349277249,20784.569050407383,481000,166.76118501455312
3235958,Enjoy Simple Life in Tokyo (1),https://www.airbnb.com/rooms/3235958,"$8,476.00",Entire home/apt,Entire rental unit,2,0.0,1.0,1 bath,"[""Extra pillows and blankets"", ""Ethernet connection"", ""Rice maker"", ""Hangers"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Hot water"", ""Shampoo"", ""Iron"", ""Fire extinguisher"", ""Induction stove"", ""Body soap"", ""Private patio or balcony"", ""Essentials"", ""Laundromat nearby"", ""Freezer"", ""Conditioner"", ""Dishes and silverware"", ""Kitchen"", ""Mini fridge"", ""Toaster"", ""Hair dryer"", ""Board games"", ""Wifi"", ""Wine glasses"", ""Shower gel"", ""AC - split type ductless system"", ""Host greets you"", ""Books and reading material"", ""Window guards"", ""First aid kit"", ""Free washer \u2013 In building"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Hot water kettle"", ""Microwave"", ""Refrigerator"", ""Bed linens"", ""Cleaning products"", ""Cooking basics"", ""Dining table"", ""TV"", ""Long term stays allowed""]",1,Itabashi Ku,35.78156,139.63309,4.8,4.78,4.66,4.65,4.81,4.83,4.79,128,t,90%,85%,t,2,265,f,548.6225660773853,0.0,20212.365844167587,18445.729822458,598000,322.3017840787134
3339222,Enjoy Simple Life in Tokyo (2),https://www.airbnb.com/rooms/3339222,"$8,544.00",Entire home/apt,Entire rental unit,2,1.0,4.0,1 bath,"[""Extra pillows and blankets"", ""Rice maker"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Shampoo"", ""Heating - split type ductless system"", ""Iron"", ""Stove"", ""Body soap"", ""Private patio or balcony"", ""Essentials"", ""Laundromat nearby"", ""Freezer"", ""Conditioner"", ""Dishes and silverware"", ""Kitchen"", ""Toaster"", ""Hair dryer"", ""Clothing storage: closet and wardrobe"", ""Wifi"", ""Wine glasses"", ""AC - split type ductless system"", ""Host greets you"", ""First aid kit"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Hot water kettle"", ""Microwave"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Long term stays allowed""]",1,Itabashi Ku,35.77932,139.63338,4.74,4.77,4.66,4.66,4.92,4.89,4.9,89,t,90%,85%,t,2,212,f,245.86173625214897,2.0,19980.79042880291,18152.53647417542,1340000,257.8807601974115
3364169,Asakusa friendly family type apt,https://www.airbnb.com/rooms/3364169,"$13,958.00",Entire home/apt,Entire rental unit,4,1.0,3.0,1 bath,"[""Extra pillows and blankets"", ""Coffee maker"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Clothing storage"", ""Shampoo"", ""Washer"", ""Private hot tub"", ""Iron"", ""Fire extinguisher"", ""Bidet"", ""Body soap"", ""Private patio or balcony"", ""Essentials"", ""Paid parking off premises"", ""Conditioner"", ""Dedicated workspace"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Kitchen"", ""Backyard"", ""Hair dryer"", ""Wine glasses"", ""Shower gel"", ""BBQ grill"", ""Bathtub"", ""Fast wifi \u2013 192 Mbps"", ""Host greets you"", ""Oven"", ""Air conditioning"", ""Microwave"", ""Exterior or entryway security camera present"", ""Refrigerator"", ""Bed linens"", ""Cleaning products"", ""Cooking basics"", ""Dining table"", ""TV"", ""Long term stays allowed""]",5,Taito Ku,35.7223,139.80049,4.78,4.83,4.64,4.63,4.95,4.97,4.85,165,t,100%,95%,t,2,286,t,1385.766408617302,0.0,6782.366319658758,14054.692097657866,988000,452.94739569431306
3372902,アジアンミックステイストの癒される空間,https://www.airbnb.com/rooms/3372902,"$8,135.00",Entire home/apt,Entire rental unit,2,2.0,2.0,1 bath,"[""Extra pillows and blankets"", ""Hangers"", ""Hot water"", ""Shampoo"", ""Fire extinguisher"", ""Stove"", ""Body soap"", ""Essentials"", ""Conditioner"", ""Dishes and silverware"", ""TV with standard cable"", ""Kitchen"", ""Toaster"", ""Hair dryer"", ""Wifi"", ""Wine glasses"", ""Sound system"", ""Bathtub"", ""Books and reading material"", ""First aid kit"", ""Heating"", ""Private entrance"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Long term stays allowed""]",2,Meguro Ku,35.61728,139.6679,4.63,4.67,4.48,4.44,4.77,4.88,4.74,161,t,100%,93%,t,1,116,f,953.8674011662124,0.0,14034.783199146825,6805.389816709339,1120000,386.7966575558018
3427384,Tatoo ok! Onsen of 400 years of history【禅】,https://www.airbnb.com/rooms/3427384,"$8,860.00",Entire home/apt,Entire rental unit,3,1.0,2.0,1.5 baths,"[""Extra pillows and blankets"", ""Coffee maker"", ""Rice maker"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Shampoo"", ""Noise decibel monitors on property"", ""Iron"", ""Bowling alley"", ""Fire extinguisher"", ""Body soap"", ""Essentials"", ""Dryer \u2013 In building"", ""Laundromat nearby"", ""Coffee"", ""Conditioner"", ""Dedicated workspace"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Kitchen"", ""Paid parking lot off premises"", ""Mini fridge"", ""Hair dryer"", ""Cleaning available during stay"", ""Wifi"", ""Wine glasses"", ""Shared hot tub"", ""Gas stove"", ""AC - split type ductless system"", ""Bathtub"", ""Shared onsen: onsite shared onsen"", ""Host greets you"", ""Books and reading material"", ""First aid kit"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Refrigerator"", ""Cooking basics"", ""Pocket wifi"", ""Arcade games"", ""Long term stays allowed""]",2,Edogawa Ku,35.68374,139.85971,4.88,4.82,4.85,4.73,4.91,4.94,4.91,193,t,100%,98%,t,2,109,f,461.4605032866222,1.0,10407.752749952911,17966.66122907798,546000,122.41786763417466
3514008,誠道館 303／静かで出入り自由な完全個室（専用バス・トイレ）,https://www.airbnb.com/rooms/3514008,"$2,900.00",Entire home/apt,Entire rental unit,2,1.0,2.0,1.5 baths,"[""Fire extinguisher"", ""Hair dryer"", ""Hangers"", ""Heating"", ""Wifi"", ""Essentials"", ""Air conditioning"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Shampoo"", ""Washer"", ""Cleaning products"", ""Cooking basics"", ""Dishes and silverware"", ""Host greets you"", ""Kitchen""]",1,Arakawa Ku,35.72672,139.78201,4.87,4.89,4.78,4.68,4.86,4.88,4.88,384,t,100%,96%,t,8,6,f,847.047396634629,0.0,6459.403488832688,12930.539853796025,825000,144.80175510104036
3563698,30MinToTokyo|ResidentialArea|Nomadwork|,https://www.airbnb.com/rooms/3563698,"$7,033.00",Entire home/apt,Entire rental unit,2,1.0,2.0,1 bath,"[""Extra pillows and blankets"", ""Rice maker"", ""Hangers"", ""Drying rack for clothing"", ""Hot water"", ""Clothing storage"", ""Shampoo"", ""Iron"", ""Fire extinguisher"", ""Cooking basics"", ""Body soap"", ""Essentials"", ""Laundromat nearby"", ""Freezer"", ""Conditioner"", ""Dedicated workspace"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Toaster"", ""Hair dryer"", ""Gas stove"", ""Bikes"", ""Bathtub"", ""Free residential garage on premises \u2013 1 space"", ""Host greets you"", ""First aid kit"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Air conditioning"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""River view"", ""Fast wifi \u2013 277 Mbps"", ""Refrigerator"", ""Dining table"", ""Long term stays allowed""]",4,Machida Shi,35.58911,139.48023,4.87,4.88,4.86,4.68,4.98,4.99,4.89,138,t,100%,100%,t,3,300,t,840.2750149381609,0.0,34256.69884104784,26394.321983133497,163000,394.338511090465
3623844,Tatoo ok! Tokyo Onsen and Room【寿】,https://www.airbnb.com/rooms/3623844,"$6,706.00",Entire home/apt,Entire rental unit,3,1.0,2.0,1.5 baths,"[""Extra pillows and blankets"", ""Coffee maker"", ""Rice maker"", ""Hangers"", ""Room-darkening shades"", ""Waterfront"", ""Hot water"", ""Clothing storage"", ""Shampoo"", ""Iron"", ""Fire extinguisher"", ""Body soap"", ""Essentials"", ""Dryer \u2013 In building"", ""Laundromat nearby"", ""Freezer"", ""Coffee"", ""Conditioner"", ""Dedicated workspace"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Kitchen"", ""Paid parking lot off premises"", ""Mini fridge"", ""Hair dryer"", ""Cleaning available during stay"", ""Wifi"", ""Wine glasses"", ""Shared hot tub"", ""AC - split type ductless system"", ""Bathtub"", ""Shared onsen: onsite shared onsen"", ""Host greets you"", ""Books and reading material"", ""First aid kit"", ""Stainless steel gas stove"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Refrigerator"", ""Cooking basics"", ""Pocket wifi"", ""Long term stays allowed""]",2,Edogawa Ku,35.68358,139.85985,4.88,4.87,4.9,4.74,4.93,4.93,4.92,153,t,100%,98%,t,2,184,f,446.7189363655056,1.0,10422.669422758485,17977.832101727283,546000,95.56944600882106
